"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     
          0,           0,         275,      -9.722040449,      -9.844185991,       -9.85409501,      -9.182602727
          0,           0,         276,      -9.722035793,      -9.844147602,       -9.85403121,      -9.182604866
          0,           0,         277,      -9.722031192,      -9.844110053,      -9.853968759,      -9.182606688
          0,           0,         278,      -9.722026646,      -9.844073324,      -9.853907628,      -9.182608208
          0,           0,         279,      -9.722022151,      -9.844037397,      -9.853847789,      -9.182609439
          0,           0,         280,      -9.722017709,      -9.844002252,      -9.853789215,      -9.182610393
          0,           0,         281,      -9.722013317,      -9.843967872,      -9.853731877,      -9.182611082
          0,           0,         282,      -9.722008977,      -9.843934239,       -9.85367575,      -9.182611522
          0,           0,         283,      -9.722004688,      -9.843901337,      -9.853620809,      -9.182611726
          0,           0,         284,       -9.72200045,      -9.843869149,      -9.853567027,       -9.18261171
          0,           0,         285,      -9.721996264,      -9.843837657,      -9.853514381,      -9.182611489
          0,           0,         286,       -9.72199213,      -9.843806848,      -9.853462846,      -9.182611074
          0,           0,         287,      -9.721988044,      -9.843776706,        -9.8534124,      -9.182610478
          0,           0,         288,      -9.721984007,      -9.843747215,      -9.853363018,      -9.182609714
          0,           0,         289,      -9.721980023,      -9.843718361,      -9.853314679,      -9.182608789
          0,           0,         290,      -9.721976095,      -9.843690128,      -9.853267358,      -9.182607729
          0,           0,         291,      -9.721972223,      -9.843662503,      -9.853221035,      -9.182606546
          0,           0,         292,      -9.721968409,      -9.843635472,      -9.853175689,      -9.182605247
          0,           0,         293,      -9.721964653,      -9.843609023,        -9.8531313,      -9.182603841
          0,           0,         294,      -9.721960955,      -9.843583143,       -9.85308785,      -9.182602332
          0,           0,         295,      -9.721957312,       -9.84355782,      -9.853045319,      -9.182600731
          0,           0,         296,      -9.721953725,      -9.843533042,      -9.853003687,       -9.18259904
          0,           0,         297,      -9.721950192,      -9.843508798,      -9.852962937,      -9.182597266
          0,           0,         298,      -9.721946712,      -9.843485074,       -9.85292305,      -9.182595413
          0,           0,         299,      -9.721943285,      -9.843461861,      -9.852884008,      -9.182593486
          0,           0,         300,      -9.721939909,      -9.843439146,      -9.852845793,       -9.18259149
          0,           0,         301,      -9.721936583,      -9.843416919,      -9.852808388,      -9.182589431
          0,           0,         302,      -9.721933307,      -9.843395169,      -9.852771775,      -9.182587312
          0,           0,         303,       -9.72193008,      -9.843373885,      -9.852735938,      -9.182585136
